1,r,o,b,g,r,o,r,y,y
2,y,b,w,w,g,y,g,o,w
3,o,w,w,b,o,b,o,r,g
4,g,w,o,r,y,g,r,w,y
5,o,r,w,g,w,r,b,y,r
6,g,r,y,o,o,b,b,w,w
7,b,y,b,w,y,w,g,r,y
8,w,y,w,g,r,b,g,y,g
9,b,o,w,o,w,w,y,y,y
10,r,g,r,b,g,b,o,g,r
11,o,o,o,r,b,r,r,g,o
12,y,b,y,b,o,o,w,o,b
13,w,w,b,w,b,w,y,g,g
14,y,o,g,b,r,g,b,y,b
15,g,y,g,w,g,o,w,b,w
16,o,r,o,y,w,y,o,r,r
17,r,r,r,g,y,g,r,r,r
18,b,g,w,o,r,b,y,b,y
19,w,r,w,y,w,w,g,r,g
20,b,y,b,o,o,b,g,o,y
21,g,r,y,w,y,g,b,r,w
22,o,y,r,w,b,g,r,b,r
23,y,o,b,b,r,g,y,b,w
24,r,w,o,y,g,o,o,g,o
25,b,b,y,y,o,o,b,o,g
26,w,w,g,r,w,r,w,y,g
27,b,w,g,r,y,r,w,g,y
28,r,w,o,b,b,y,r,g,r
29,b,w,g,r,y,r,w,g,y
30,o,o,o,w,g,g,r,y,o
31,w,w,g,r,w,r,w,y,g
32,w,b,y,g,r,b,b,o,y
33,g,o,b,o,o,y,y,b,b
34,o,g,g,b,r,o,r,b,b
35,w,r,b,g,w,w,y,r,g
36,y,y,o,b,o,g,w,o,r
37,w,w,g,r,y,r,w,y,g
38,o,y,o,g,g,w,b,o,w
39,r,w,r,o,b,y,y,b,b
40,o,y,o,w,b,b,b,o,y
41,y,b,y,y,r,r,g,g,o
42,y,o,r,w,g,g,b,y,w
43,g,o,g,y,o,g,o,b,w
44,b,w,b,r,w,b,w,g,r
45,w,r,w,o,y,w,r,r,g
46,w,g,o,g,w,y,g,w,g
47,r,b,w,w,o,o,o,w,b
48,b,w,y,y,b,o,b,g,b
49,g,o,r,b,r,r,r,g,r
50,g,w,g,y,w,g,o,g,w
51,y,r,o,r,y,r,y,y,g
52,r,b,g,g,r,o,r,r,r
53,o,r,g,r,y,y,y,r,y
54,w,o,b,b,o,w,r,w,o
55,o,y,g,g,w,w,w,g,g
56,w,b,w,o,g,y,y,b,o
57,b,g,b,o,b,y,y,w,b
58,b,w,o,o,o,w,w,b,r
59,w,b,w,o,g,y,y,b,o
60,r,g,r,r,r,b,r,o,g
61,b,g,b,o,b,y,y,w,b
62,o,r,g,r,y,y,y,r,y
63,o,y,g,g,w,w,w,g,g
64,w,g,o,g,w,y,g,w,g
65,b,y,b,g,b,w,b,o,w
66,g,y,y,r,y,r,o,r,y
67,y,o,w,b,g,b,o,y,w
68,r,r,r,o,r,g,g,b,r
69,g,g,w,w,w,g,g,y,o
70,o,w,r,w,o,b,b,o,w
71,b,b,g,g,b,y,r,r,r
72,b,w,o,g,r,o,y,b,y
73,o,w,w,o,g,y,w,b,r
74,r,b,g,o,o,w,w,g,o
75,y,r,o,y,w,g,w,o,y
76,g,r,b,w,y,y,g,r,b
77,g,w,g,b,r,g,o,r,y
78,g,o,o,g,w,y,y,w,w
79,y,o,w,b,o,w,b,y,b
80,y,o,o,r,y,r,b,g,w
81,w,g,r,b,b,b,r,y,g
82,o,b,g,r,r,w,y,g,g
83,r,o,b,r,g,w,r,y,o
84,g,w,g,b,r,g,o,r,y
85,g,o,o,g,w,y,y,w,w
86,y,o,w,b,o,w,b,y,b
87,y,o,o,r,y,r,b,g,w
88,w,g,r,b,b,b,r,y,g
89,r,o,b,r,g,w,r,y,o
90,r,o,b,r,g,w,r,y,o
91,b,g,y,y,w,o,b,y,r
92,o,y,r,w,g,r,g,r,o
93,o,y,r,w,g,r,g,r,o
94,y,o,o,b,o,w,b,g,w
95,y,b,g,w,r,o,w,g,o
96,r,b,b,r,g,o,o,o,y
97,r,b,b,r,g,o,o,o,y
98,y,b,g,w,o,b,w,b,y
99,y,b,g,w,o,b,w,b,y
100,y,r,r,g,b,g,w,g,o
101,r,g,y,w,g,b,g,g,o
102,g,w,w,w,r,g,b,o,b
103,r,o,w,w,r,g,y,w,w
104,o,r,w,y,g,r,y,o,b
105,b,o,b,b,o,b,r,y,g
106,g,g,o,y,b,w,g,r,g
107,b,b,w,b,w,g,r,r,y
108,o,w,r,o,y,g,y,y,o
109,b,b,g,w,w,b,y,g,r
110,g,g,o,y,g,r,r,y,g
111,b,y,w,g,y,b,b,w,g
112,w,w,y,w,b,y,w,r,o
113,y,r,r,o,o,r,o,g,r
114,y,w,b,g,w,b,r,b,g
115,y,o,o,o,r,o,w,b,b
116,w,b,g,y,y,w,b,g,b
117,r,o,o,o,o,o,b,w,y
118,b,g,b,b,w,g,r,b,y
119,b,r,w,r,r,o,g,b,w
120,g,b,r,w,y,y,o,g,y
121,y,y,o,y,g,g,w,w,w
122,g,r,o,y,b,r,r,w,g
123,r,o,b,o,r,g,o,y,y
124,r,y,g,g,g,y,y,o,w
125,o,o,y,b,o,r,g,r,o
126,w,w,w,w,b,r,r,r,o
127,w,b,g,g,w,b,r,b,g
128,b,w,b,w,y,g,y,y,b
129,r,y,g,w,b,r,o,y,y
130,o,o,y,o,r,g,y,o,w
131,w,w,w,g,g,y,g,r,o
132,r,o,b,b,o,r,r,r,o
133,g,b,g,b,w,b,w,g,r
134,b,w,b,w,y,g,y,y,b
135,w,w,w,w,b,r,g,r,o
136,r,o,b,o,r,g,r,r,o
137,r,y,g,y,y,g,o,y,y
138,g,b,r,r,w,g,g,b,w
139,y,w,b,y,y,w,b,g,b
140,y,w,b,y,y,w,b,g,b
141,y,b,o,o,o,o,w,r,y
142,g,y,y,y,g,y,r,g,o
143,r,w,o,y,r,g,b,r,b
144,b,y,g,r,g,w,b,y,w
145,y,r,w,w,y,y,o,b,y
146,y,w,g,y,b,o,g,r,g
147,g,y,r,y,y,b,b,w,b
148,y,o,y,y,o,b,b,g,o
149,y,w,g,g,w,o,o,b,y
150,r,o,w,g,r,w,g,w,r
151,g,y,r,y,r,b,r,o,g
152,y,g,y,g,w,o,b,w,b
153,w,g,w,o,g,r,w,r,o
154,g,y,r,b,b,o,y,r,o
155,y,b,o,w,o,o,r,y,g
156,w,o,w,g,w,w,o,r,g
157,r,b,g,g,r,r,y,o,y
158,b,w,o,r,o,y,w,y,r
159,o,y,b,b,g,w,y,g,b
160,o,g,w,r,w,r,g,w,o
161,o,g,w,o,w,r,g,o,w
162,g,b,g,b,g,w,y,o,r
163,o,w,r,b,y,r,w,g,b
164,o,y,y,w,o,o,b,r,y
165,b,y,b,y,b,g,o,w,y
166,w,g,r,y,r,b,r,r,g
167,r,g,y,y,y,o,w,y,y
168,o,b,g,y,o,o,o,g,o
169,r,w,b,g,r,y,g,o,b
170,w,y,g,r,r,y,g,g,b
171,r,w,b,b,w,g,y,o,w
172,o,b,g,y,g,w,o,g,o
173,r,y,b,r,y,o,w,g,b
174,b,y,g,o,r,b,r,w,r
175,r,g,y,w,g,b,r,g,g
176,b,y,o,b,o,g,g,r,w
177,g,b,o,y,r,w,b,o,o
178,w,g,r,g,g,g,o,b,y
179,g,w,r,g,o,y,y,w,w
180,g,o,b,r,y,y,w,r,o
181,o,o,r,b,w,g,g,o,y
182,y,r,r,w,g,w,b,g,o
183,g,o,b,r,y,y,w,y,r
184,o,o,g,b,b,w,w,r,r
185,y,b,b,w,r,y,w,b,y
186,r,g,y,o,w,o,o,b,g
187,o,y,g,g,o,r,w,g,b
188,w,r,g,y,y,o,r,y,b
189,w,r,g,y,y,o,r,y,b
190,o,b,g,g,r,r,w,b,b
191,r,g,y,o,w,o,o,b,g
192,y,g,b,w,o,y,w,y,y
193,b,w,y,o,b,r,o,w,r
194,w,g,o,b,r,b,b,r,g
195,g,w,r,g,g,r,o,b,w
196,b,y,y,g,o,y,y,w,w
197,y,o,g,g,w,b,r,o,o
198,o,o,b,w,b,w,r,r,y
199,r,r,w,b,o,b,o,w,o
200,g,g,b,o,b,y,y,b,b
201,b,o,y,o,r,y,r,g,r
202,w,y,w,b,g,o,y,w,g
203,w,b,g,w,o,r,o,b,o
204,o,g,y,w,y,w,g,r,r
205,w,r,r,r,w,y,o,g,b
206,y,b,w,r,o,w,g,o,b
207,b,w,y,y,y,r,b,w,g
208,w,b,g,y,r,y,w,g,g
209,w,w,y,o,w,y,b,o,y
210,r,b,r,g,g,g,r,b,o
211,o,r,o,o,b,g,o,r,r
212,y,o,b,b,o,o,y,b,w
213,b,w,g,w,b,g,w,w,y
214,g,g,b,o,r,y,y,b,b
215,g,o,w,y,g,b,g,w,w
216,o,y,r,r,w,r,o,y,o
217,r,g,r,r,y,r,r,g,r
218,w,b,y,g,r,b,b,o,y
219,w,w,g,r,w,r,w,y,g
220,b,b,y,y,o,o,b,o,g
221,y,g,w,r,y,r,g,w,b
222,r,g,r,y,b,b,o,w,r
223,b,g,w,o,r,b,y,b,y
224,o,o,o,w,g,g,r,y,o
225,y,o,g,b,o,o,b,y,b
226,g,r,g,w,w,y,w,r,w
227,g,r,y,w,y,g,b,r,w
228,o,y,r,w,b,g,r,b,r
229,g,r,y,w,y,g,b,r,w
230,o,g,o,o,g,y,o,w,r
231,g,r,g,w,w,y,w,r,w
232,y,b,y,b,r,o,w,g,b
233,b,y,b,o,o,b,g,o,y
234,g,o,b,g,r,b,o,b,r
235,b,w,g,r,w,r,w,g,y
236,o,g,r,y,o,o,y,b,w
237,g,r,g,w,y,y,w,r,w
238,o,w,w,y,g,o,o,g,b
239,r,y,b,w,b,b,r,o,y
240,o,b,y,y,b,o,o,w,b
241,y,r,o,b,r,g,y,y,g
242,r,g,w,o,g,y,y,w,b
243,g,g,w,o,o,b,g,y,o
244,b,b,r,w,w,g,b,r,w
245,w,w,g,r,y,r,w,o,r
246,o,y,g,g,w,w,w,g,g
247,w,o,b,b,o,w,r,w,o
248,y,o,b,w,b,g,b,y,b
249,r,r,r,o,r,g,g,b,r
250,g,g,w,w,w,g,g,y,o
251,o,r,g,r,y,y,y,r,y
252,g,o,r,b,r,r,r,g,r
253,g,y,y,r,y,r,o,r,y
254,b,w,o,o,o,w,w,b,r
255,g,w,g,y,w,g,o,g,w
256,w,y,o,b,g,b,w,o,y
257,b,y,b,g,b,w,b,o,y
258,o,w,r,w,o,b,b,o,w
259,w,y,o,b,g,b,w,o,y
260,r,b,g,g,r,o,r,r,r
261,b,y,b,g,b,w,b,o,y
262,g,y,y,r,y,r,o,r,y
263,g,w,g,y,w,g,o,g,w
264,o,y,g,g,w,w,w,g,g
265,b,w,w,y,b,o,b,g,b
266,y,r,y,y,y,r,g,r,o
267,w,b,w,o,g,y,y,b,o
268,r,g,r,r,r,b,r,o,g
269,w,g,o,g,w,y,g,w,g
270,r,b,w,w,o,o,o,w,b
271,g,y,r,b,b,r,b,g,r
272,o,o,y,w,r,b,b,g,y
273,w,y,r,w,g,b,o,o,w
274,g,w,o,b,o,g,r,o,w
275,o,g,y,r,w,o,y,y,w
276,b,y,b,r,y,r,g,w,g
277,g,g,y,w,r,r,g,b,o
278,o,y,w,o,w,w,g,g,y
279,w,w,b,o,o,y,y,b,b
280,o,r,w,o,y,g,y,r,b
281,r,b,g,g,b,y,w,b,r
282,g,w,g,b,r,g,o,r,y
283,b,w,o,o,g,y,r,r,r
284,g,g,y,w,r,r,g,b,o
285,o,y,w,o,w,w,g,g,y
286,w,w,b,o,o,y,y,b,b
287,o,r,w,o,y,g,y,r,b
288,r,b,g,g,b,y,w,b,r
289,b,w,o,o,g,y,r,r,r
290,b,w,o,o,g,y,r,r,r
291,y,o,r,g,w,y,b,y,b
292,r,r,o,y,g,r,o,w,g
293,r,r,o,y,g,r,o,w,g
294,o,w,w,o,o,g,y,b,b
295,g,o,o,b,r,g,y,w,w
296,b,o,y,b,g,o,r,r,o
297,b,o,y,b,g,o,r,r,o
298,g,b,y,b,o,b,y,w,w
299,g,b,y,b,o,b,y,w,w
300,r,g,o,r,b,g,y,g,w
301,y,b,o,g,g,g,r,w,g
302,w,g,b,w,r,o,g,w,b
303,w,g,w,o,r,w,r,w,y
304,w,r,b,r,g,o,o,y,y
305,b,b,g,o,o,y,b,b,r
306,o,w,g,g,b,r,g,y,g
307,w,g,y,b,w,r,b,b,r
308,r,g,o,w,y,y,o,o,y
309,g,b,r,b,w,g,b,w,y
310,o,r,g,g,g,y,g,y,r
311,w,b,g,y,y,w,b,g,b
312,y,y,o,w,b,r,w,w,w
313,r,r,r,r,o,g,y,o,o
314,b,b,g,w,w,b,y,g,r
315,o,o,b,o,r,b,y,o,w
316,g,w,b,b,y,g,w,y,b
317,o,o,y,o,o,w,r,o,b
318,b,g,y,g,w,b,b,b,r
319,w,o,w,r,r,b,b,r,g
320,r,y,y,b,y,g,g,w,o
321,o,g,w,y,g,w,y,y,w
322,o,r,g,r,b,w,g,y,r
323,b,g,y,o,r,y,r,o,o
324,g,y,w,y,g,o,r,g,y
325,y,r,o,o,o,r,o,b,g
326,w,r,o,w,b,r,w,w,r
327,g,b,g,b,w,b,w,g,r
328,b,g,b,w,y,y,b,w,y
329,g,r,y,y,b,y,r,w,o
330,y,g,w,o,r,o,o,o,y
331,w,y,o,w,g,r,w,g,g
332,b,r,o,o,o,r,r,b,r
333,g,b,r,b,w,g,g,b,w
334,b,g,b,w,y,y,b,w,y
335,w,r,o,w,b,r,w,w,g
336,b,g,o,o,r,r,r,o,r
337,g,g,y,y,y,y,r,y,o
338,r,g,w,b,w,b,g,r,g
339,b,w,b,w,y,g,y,y,b
340,b,w,b,w,y,g,y,y,b
341,o,o,y,b,o,r,y,o,w
342,y,y,o,y,g,g,g,y,r
343,o,g,b,w,r,r,r,y,b
344,g,w,w,y,g,y,b,r,b
345,w,y,y,r,y,b,y,w,o
346,g,o,g,w,b,r,y,y,g
347,r,b,b,y,y,w,g,y,b
348,y,b,o,o,o,g,y,y,b
349,g,o,y,w,w,b,y,g,o
350,w,w,r,o,r,w,r,g,g
351,r,b,g,y,r,o,g,y,r
352,y,o,b,g,w,w,y,g,b
353,w,r,o,g,g,r,w,o,w
354,r,o,o,y,b,r,g,b,y
355,o,o,g,b,o,y,y,w,r
356,w,w,g,o,w,r,w,g,o
357,g,r,y,b,r,o,r,g,y
358,o,y,r,w,o,y,b,r,w
359,b,w,b,y,g,g,o,b,y
360,w,r,o,g,w,w,o,r,g
361,w,r,w,g,w,o,o,o,g
362,g,w,r,b,g,o,g,b,y
363,r,r,b,w,y,g,o,b,w
364,y,o,y,y,o,r,o,w,b
365,b,g,y,y,b,w,b,y,o
366,r,b,g,g,r,r,w,y,r
367,y,o,y,g,y,y,r,y,w
368,g,o,o,b,o,g,o,y,o
369,b,y,b,w,r,o,r,g,g
370,g,y,b,y,r,g,w,r,g
371,b,g,w,w,w,o,r,b,y
372,g,w,o,b,g,g,o,y,o
373,b,o,b,y,y,g,r,r,w
374,g,b,r,y,r,w,b,o,r
375,y,b,g,g,g,g,r,w,r
376,o,g,w,y,o,r,b,b,g
377,o,w,o,b,r,o,g,y,b
378,r,g,y,g,g,b,w,g,o
